"","COYNAME","REGNO","ACCTYPEDESC","COYDESC","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"48","KLW HOLDINGS LIMITED","199504141D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,7393411,6173559,1219852,14297181,14297181,0,-6903770,0,27510216,0,-34413986,0.43,-93.38,193.38
"49","KODA LTD","198001299R","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,27760000,13843000,13917000,5832000,5352000,480000,21928000,0,4040000,30000,17858000,2.59,78.99,21.01
"50","BROOKE ASIA LIMITED","200718683N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,44393000,16270000,28123000,190000,190000,0,44203000,0,28460000,0,15743000,85.63,99.57,0.43
"51","LION ASIAPAC LIMITED","196800586R","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,160161000,159204000,957000,77043000,76487000,556000,83118000,0,47494000,13543000,22081000,2.08,51.9,48.1
"52","MAPLETREE LOGISTICS TRUST MANAGEMENT LTD.","200500947N","Company","PUBLIC COMPANY LIMITED BY SHARES",2011,38960000,35512000,3448000,23503000,17123000,6380000,15457000,2,1e+06,138000,14319000,2.07,39.67,60.33
"53","MARCO POLO MARINE LTD.","200610073Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,57486000,53166000,4320000,832000,832000,0,56654000,3,59239000,0,-2585000,63.9,98.55,1.45
"54","MENCAST HOLDINGS LTD.","200802235C","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,33052000,12152000,20900000,9149000,9149000,0,23903000,2,25126000,0,-1223000,1.33,72.32,27.68
"55","MTQ CORPORATION LIMITED","196900057Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,81295000,21123000,60172000,28805000,5752000,23053000,52490000,0,28932000,-18000,27568000,3.67,64.57,35.43
"56","MULTI-CHEM LIMITED","198500318Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,84051000,10930000,73121000,25246000,24937000,309000,58805000,0,37288000,0,21517000,0.44,69.96,30.04
"57","NH CERAMICS LTD","199704544C","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,10012763,1838587,8174176,777525,777525,0,9235238,0,19504949,0,-10269711,2.36,92.23,7.77
