"","FYEAR","COYNAME","REGNO","ACCTYPEDESC","COYDESC","REVENUE_AMT","PBFTAX","LBFTAX","PAFTAX","LAFTAX","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_NETPROFITSALES","AR_RETINVESTMENT","AR_RETSHAREFUNDS","AR_TASSETSTO","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT","EMPLOYMENT_RATE","SG_GDP"
"11",2009,"SOILBUILD GROUP HOLDINGS LTD.","199609233M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,168760000,113219000,55541000,87948000,87907000,41000,80812000,"0.00",58703000,5067000,17299000,"0.00","0.00","0.00",0,"1.29","47.89","52.11",2952.4,-1.3
"12",2009,"ICONIC HOLDINGS LIMITED","199904837M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","7,507,203.00","4,532,765.00",0,"4,532,765.00",0,23954787,18421793,5532994,2011751,2011751,0,21943036,"0.00",3720865,0,18222171,"60.38","18.92","20.66",0.31,"9.16","91.60","8.40",2952.4,-1.3
"13",2009,"BRC ASIA LIMITED","193800054G","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,131572000,109918000,21654000,76254000,69637000,6617000,55318000,"0.00",29663000,1334000,24321000,"0.00","0.00","0.00",0,"1.58","42.04","57.96",2952.4,-1.3
"14",2009,"CCFH LTD.","198200473E","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,23186000,4985000,18201000,10818000,9392000,1426000,12368000,"0.00",65075000,60000,-52767000,"0.00","0.00","0.00",0,"0.53","53.34","46.66",2952.4,-1.3
"15",2009,"TEHO INTERNATIONAL INC LTD.","200811433K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,18276097,5437063,12839034,76575,76575,0,18199522,"0.00",15480668,0,2718854,"0.00","0.00","0.00",0,"71.00","99.58","0.42",2952.4,-1.3
"16",2009,"SINGAPORE EXCHANGE LIMITED","199904940D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","424,508,000.00","303,796,000.00",0,"301,587,000.00",0,1010883000,472039000,538844000,329393000,329393000,0,681490000,"0.00",414851000,20227000,124359000,"71.04","29.83","44.25",0.42,"1.43","67.42","32.58",2952.4,-1.3
"17",2009,"MULTI-CHEM LIMITED","198500318Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,84051000,10930000,73121000,25246000,24937000,309000,58805000,"0.00",37288000,0,21517000,"0.00","0.00","0.00",0,"0.44","69.96","30.04",2952.4,-1.3
"18",2009,"CSC HOLDINGS LIMITED","199707845E","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,100271724,42912169,57359555,12416641,7333142,5083499,87855083,"0.00",64378246,21216752,2260085,"0.00","0.00","0.00",0,"5.85","87.62","12.38",2952.4,-1.3
"19",2009,"NICO STEEL HOLDINGS LIMITED","200104166D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,11225772,4778553,6447219,1007454,853745,153709,10218318,"0.00",7722794,0,2495524,"0.00","0.00","0.00",0,"5.60","91.03","8.97",2952.4,-1.3
"20",2009,"GREEN BUILD TECHNOLOGY LIMITED","200401338W","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,99563000,12087000,87476000,2875000,2692000,183000,96688000,"2.00",113179000,-2164000,-14327000,"0.00","0.00","0.00",0,"4.49","97.11","2.89",2952.4,-1.3
"21",2009,"HOE LEONG CORPORATION LTD.","199408433W","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,82362000,60486000,21876000,25315000,25193000,122000,57047000,"0.00",53897000,0,3150000,"0.00","0.00","0.00",0,"2.40","69.26","30.74",2952.4,-1.3
"22",2009,"INTRACO LIMITED","196800526Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,85189000,36836000,48353000,10369000,10369000,0,74820000,"0.00",81874000,-1223000,-5831000,"0.00","0.00","0.00",0,"3.55","87.83","12.17",2952.4,-1.3
"23",2009,"PNE MICRON HOLDINGS LTD","200105909M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,16687000,680000,16007000,960000,960000,0,15727000,"0.00",23917000,0,-8190000,"0.00","0.00","0.00",0,"0.71","94.25","5.75",2952.4,-1.3
"24",2009,"UNITED INTERNATIONAL SECURITIES LTD","196900634H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,348679000,12778000,335901000,5797000,3039000,2758000,342882000,"0.00",196592000,34534000,111756000,"0.00","0.00","0.00",0,"4.20","98.34","1.66",2952.4,-1.3
"25",2009,"STARHUB LTD.","199802208C","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","932,240,000.00","376,799,000.00",0,"333,014,000.00",0,2639159000,983383000,1655776000,1397394000,736243000,661151000,1241765000,"0.00",257514000,279205000,705046000,"35.72","12.62","26.82",0.35,"1.34","47.05","52.95",2952.4,-1.3
"26",2009,"MAGNUS ENERGY GROUP LTD.","198301375M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,32871799,1083116,31788683,2352150,2240972,111178,30519649,"0.00",116501816,2226865,-88209032,"0.00","0.00","0.00",0,"0.48","92.84","7.16",2952.4,-1.3
"27",2009,"KLW HOLDINGS LIMITED","199504141D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,7393411,6173559,1219852,14297181,14297181,0,-6903770,"0.00",27510216,0,-34413986,"0.00","0.00","0.00",0,"0.43","-93.38","193.38",2952.4,-1.3
"28",2009,"SINOMEM TECHNOLOGY PTE. LTD.","200208107G","Consolidated","LIMITED PRIVATE COMPANY","","",0,"",0,156837000,149937000,6900000,26329000,26329000,0,130508000,"2.00",120782000,0,11430000,"0.00","0.00","0.00",0,"5.69","83.21","16.79",2952.4,-1.3
"29",2009,"WHEELOCK PROPERTIES (SINGAPORE) LIMITED","197201797H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,2071877000,974463000,1097414000,411939000,396132000,15807000,1659938000,"0.00",1055901000,0,604037000,"0.00","0.00","0.00",0,"2.46","80.12","19.88",2952.4,-1.3
"30",2009,"SUPER GROUP LTD.","199101696K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,181368000,23008000,158360000,18682000,9205000,9477000,162686000,"0.00",142517000,10755000,11227000,"0.00","0.00","0.00",0,"2.50","89.70","10.30",2952.4,-1.3
"31",2009,"YONGMAO HOLDINGS LIMITED","200510649K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,303981000,51669000,252312000,2819000,2819000,0,301162000,"2.00",312484000,-6230000,-5092000,"0.00","0.00","0.00",0,"18.33","99.07","0.93",2952.4,-1.3
"32",2010,"CHEUNG WOH TECHNOLOGIES LTD","197201205Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,85609000,23925000,61684000,25254000,24882000,372000,60355000,"0.00",26854000,0,33501000,"0.00","0.00","0.00",0,"0.96","70.50","29.50",2990,14.5
"33",2010,"KINERGY CORPORATION LTD.","198800021D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,66472000,47383000,19089000,35550000,33242000,2308000,30922000,"0.00",29447000,47000,1453000,"0.00","0.00","0.00",0,"1.43","46.52","53.48",2990,14.5
"34",2010,"ASA GROUP HOLDINGS LTD","199508258M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,96242000,723000,95519000,3094000,3094000,0,93148000,"0.00",243713000,0,-150565000,"0.00","0.00","0.00",0,"0.23","96.79","3.21",2990,14.5
