COYNAME,REGNO,ACCTYPEDESC,COYDESC,FYEAR,REVENUE_AMT,PBFTAX,LBFTAX,PAFTAX,LAFTAX,TTASSET,TTCRASSET,TTNCRASSET,TTLIAB,TTCRLIAB,TTNCRLIAB,TTEQUITY,PUCAP,SHARECAP,OTHERRESERVESTT,RETAINEARN,AR_NETPROFITSALES,AR_RETINVESTMENT,AR_RETSHAREFUNDS,AR_TASSETSTO,AR_CURRWCAP,AR_PROPRATIO,AR_TOTALDEBT
TARGET REALTY LIMITED,196600150G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"107,610,000.00","661,000.00","106,949,000.00","907,000.00","907,000.00",0.00,"106,703,000.00",0.00,"12,248,000.00",0.00,"94,455,000.00",0.00,0.00,0.00,,0.73,99.16,0.84
HYFLUX LTD,200002722Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"831,435,000.00","676,467,000.00","154,968,000.00","572,579,000.00","128,911,000.00","443,668,000.00","258,856,000.00",0.00,"207,474,000.00","18,609,000.00","34,065,000.00",0.00,0.00,0.00,,5.25,31.13,68.87
HYFLUX LTD,200002722Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"1,457,109,000.00","825,548,000.00","631,561,000.00","800,799,000.00","226,988,000.00","573,811,000.00","656,310,000.00",0.00,"604,740,000.00","20,443,000.00","35,588,000.00",0.00,0.00,0.00,,3.64,45.04,54.96
ICONIC HOLDINGS LIMITED,199904837M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,"7,507,203.00","4,532,765.00",,"4,532,765.00",,"23,954,787.00","18,421,793.00","5,532,994.00","2,011,751.00","2,011,751.00",0.00,"21,943,036.00",0.00,"3,720,865.00",0.00,"18,222,171.00",60.38,18.92,20.66,0.31,9.16,91.60,8.40
INTRACO LIMITED,196800526Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"85,189,000.00","36,836,000.00","48,353,000.00","10,369,000.00","10,369,000.00",0.00,"74,820,000.00",0.00,"81,874,000.00","-1,223,000.00","-5,831,000.00",0.00,0.00,0.00,,3.55,87.83,12.17
CEDAR STRATEGIC HOLDINGS LTD.,198003839Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"143,845,000.00","143,749,000.00","96,000.00","2,948,000.00","2,948,000.00",0.00,"140,897,000.00",0.00,"402,703,000.00","-261,806,000.00",0.00,0.00,0.00,0.00,,48.76,97.95,2.05
JAPAN FOODS HOLDING LTD.,200722314M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"8,063,000.00","3,085,000.00","4,978,000.00","1,081,000.00","1,081,000.00",0.00,"6,982,000.00",1.00,"6,603,000.00",0.00,"379,000.00",0.00,0.00,0.00,,2.85,86.59,13.41
JUBILEE INDUSTRIES HOLDINGS LTD.,200904797H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"23,876,341.00","2,359,629.00","21,516,712.00","237,986.00","237,986.00",0.00,"23,638,355.00",0.00,"24,711,184.00",0.00,"-1,072,829.00",0.00,0.00,0.00,,9.91,99.00,1.00
JUKEN TECHNOLOGY LIMITED,199200539Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"33,440,000.00","17,387,000.00","16,053,000.00","10,420,000.00","7,832,000.00","2,588,000.00","23,020,000.00",0.00,"19,098,000.00","2,320,000.00","1,624,000.00",0.00,0.00,0.00,,2.22,68.84,31.16
RAFFLES UNITED HOLDINGS LTD.,197302030N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"105,935,000.00","74,324,000.00","31,611,000.00","46,848,000.00","27,094,000.00","19,754,000.00","59,087,000.00",0.00,"31,658,000.00","6,229,000.00","21,200,000.00",0.00,0.00,0.00,,2.74,55.78,44.22
MAYBANK KIM ENG HOLDINGS LIMITED,198900204D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"826,616,000.00","304,426,000.00","522,190,000.00","337,129,000.00","287,129,000.00","50,000,000.00","489,487,000.00",0.00,"244,451,000.00","50,440,000.00","227,933,000.00",0.00,0.00,0.00,,1.06,59.22,40.78
KINERGY CORPORATION LTD.,198800021D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"66,472,000.00","47,383,000.00","19,089,000.00","35,550,000.00","33,242,000.00","2,308,000.00","30,922,000.00",0.00,"29,447,000.00","47,000.00","1,453,000.00",0.00,0.00,0.00,,1.43,46.52,53.48
KINGSMEN CREATIVES LTD.,200210790Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"33,400,000.00","6,695,000.00","26,705,000.00","3,343,000.00","3,321,000.00","22,000.00","30,057,000.00",2.00,"23,266,000.00","325,000.00","7,701,000.00",0.00,0.00,0.00,,2.02,89.99,10.01
KLW HOLDINGS LIMITED,199504141D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"7,393,411.00","6,173,559.00","1,219,852.00","14,297,181.00","14,297,181.00",0.00,"-6,903,770.00",0.00,"27,510,216.00",0.00,"-34,413,986.00",0.00,0.00,0.00,,0.43,-93.38,193.38
KODA LTD,198001299R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"27,760,000.00","13,843,000.00","13,917,000.00","5,832,000.00","5,352,000.00","480,000.00","21,928,000.00",0.00,"4,040,000.00","30,000.00","17,858,000.00",0.00,0.00,0.00,,2.59,78.99,21.01
