"","ID","degree"
"596",1780,3469
"597",1781,3469
"598",1782,3469
"599",1783,3469
"600",1870,3469
"601",1872,3469
"602",1880,3469
"603",1881,3469
"604",1887,3469
"605",1889,3469
"606",1890,3469
"607",1891,3469
"608",1892,3469
"609",1893,3469
"610",1894,3469
"611",1898,3469
"612",1899,3469
"613",1900,3469
"614",1902,3469
"615",1904,3469
"616",1905,3469
"617",1907,3469
"618",1914,3469
"619",1915,3469
"620",1916,3469
"621",1917,3469
"622",1919,3469
"623",1921,3469
"624",1922,3469
"625",1923,3469
"626",1924,3469
"627",1926,3469
"628",1929,3469
"629",1930,3469
"630",1933,3469
"631",1934,3469
"632",1935,3469
"633",1936,3469
"634",1937,3469
"635",1938,3469
"636",1939,3469
"637",1940,3469
"638",1941,3469
"639",1942,3469
"640",1945,3469
"641",1947,3469
"642",1948,3469
"643",1949,3469
"644",1951,3469
"645",1952,3469
"646",1953,3469
"647",1955,3469
"648",1957,3469
"649",1958,3469
"650",1961,3469
"651",1962,3469
"652",1963,3469
"653",1966,3469
"654",1967,3469
"655",1968,3469
"656",1972,3469
"657",1973,3469
"658",1978,3469
"659",1980,3469
"660",1981,3469
"661",1982,3469
"662",1984,3469
"663",1985,3469
"664",1986,3469
"665",1988,3469
"666",1990,3469
"667",1991,3469
"668",1992,3469
"669",1993,3469
"670",1994,3469
"671",1996,3469
"672",1999,3469
"673",2000,3469
"674",2001,3469
"675",2003,3469
"676",2006,3469
"677",2007,3469
"678",2009,3469
"679",2010,3469
"680",2011,3469
"681",2012,3469
"682",2015,3469
"683",2016,3469
"684",2017,3469
"685",2019,3469
"686",2020,3469
"687",2023,3469
"688",2024,3469
"689",2025,3469
"690",2026,3469
"691",2027,3469
"692",2028,3469
"693",2029,3469
"694",2032,3469
"695",2033,3469
"696",2034,3469
"697",2035,3469
"698",2037,3469
"699",2038,3469
"700",2039,3469
"701",2041,3469
"702",2046,3469
"703",2047,3469
"704",2049,3469
"705",2051,3469
"706",2054,3469
"707",2055,3469
"708",2056,3469
"709",2058,3469
"710",2060,3469
"711",2064,3469
"712",2065,3469
"713",2067,3469
"714",2068,3469
"715",2069,3469
"716",2071,3469
"717",2073,3469
"718",2075,3469
"719",2077,3469
"720",2079,3469
"721",2080,3469
"722",2082,3469
"723",2083,3469
"724",2084,3469
"725",2086,3469
"726",2089,3469
"727",2090,3469
"728",2091,3469
"729",2092,3469
"730",2094,3469
"731",2096,3469
"732",2097,3469
"733",2102,3469
"734",2103,3469
"735",2107,3469
"736",2108,3469
"737",2109,3469
"738",2111,3469
"739",2112,3469
"740",2113,3469
"741",2114,3469
"742",2115,3469
"743",2116,3469
"744",2117,3469
"745",2118,3469
"746",2119,3469
"747",2124,3469
"748",2126,3469
"749",2127,3469
"750",2128,3469
"751",2129,3469
"752",2130,3469
"753",2131,3469
"754",2132,3469
"755",2133,3469
"756",2134,3469
"757",2136,3469
"758",2137,3469
"759",2138,3469
"760",2139,3469
"761",2140,3469
"762",2141,3469
"763",2142,3469
"764",2143,3469
"765",2144,3469
"766",2146,3469
"767",2147,3469
"768",2148,3469
"769",2150,3469
"770",2151,3469
